Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745451937.62,0,0,39.5,1.0,3.5,6.5,27.140742187500003,43.145559665694435,1002.8360190147962,87.06653517615564,59644.5
1745451939.63,0,0,40.5,1.0,3.5,6.5,27.24640625,42.86844250693406,1002.8354773408707,87.07108284537975,85161.0
1745451941.61,0,0,40.5,1.0,4.0,6.0,27.327265625,42.58582470541367,1002.8264007144517,87.14728711580752,101520.0
1745451943.58,0,0,34.0,1.0,4.0,6.0,27.3876171875,42.355329721695206,1002.8246515089231,87.16197288850682,113769.0
1745451945.61,0,0,48.0,1.0,4.0,6.0,27.4346875,42.16559259964686,1002.8210217887054,87.19244692859229,123400.0
1745451947.58,0,0,35.5,1.0,4.0,6.0,27.469843750000003,41.99267179428714,1002.8229766624495,87.17603436466135,130320.0
1745451949.6,0,0,35.5,1.0,3.5,6.0,27.49865234375,41.83716002518868,1002.8262065658053,87.14891707592426,135943.0
1745451951.56,0,0,50.5,1.0,3.5,6.0,27.49865234375,41.83716002518868,1002.8262065658053,87.14891707592426,135943.0
1745451953.63,0,0,46.5,1.0,3.0,6.0,27.5208203125,41.71394156885037,1002.8242149470213,87.16563810585865,140282.5
1745451955.58,0,0,48.0,1.0,3.0,6.0,27.53986328125,41.60540731019816,1002.828090768194,87.13309791516123,143686.0
1745451957.6,0,0,37.0,1.0,3.0,4.0,27.5567578125,41.5056631308601,1002.8283346050742,87.13105073909705,146868.5
1745451959.56,0,0,37.0,1.0,3.0,4.0,27.5735546875,41.42089865223028,1002.8241231995396,87.1664083884973,149139.5
1745451961.62,0,0,44.0,1.0,3.0,4.0,27.58673828125,41.34472471758191,1002.8258139629802,87.15221324465934,151074.5
1745451963.58,0,0,40.0,1.0,3.0,4.0,27.597187499999997,41.28021605249991,1002.8263147688253,87.14800864658467,153341.0
1745451965.61,0,0,42.5,1.0,3.0,4.0,27.6079296875,41.23366778634866,1002.821305304969,87.19006664728487,154888.0
