Timestamp,PM1.0 (std),PM2.5 (std),PM10 (std),PM1.0 (env),PM2.5 (env),PM10 (env),Particles >0.3um,Particles >0.5um,Particles >1.0um,Particles >2.5um,Particles >5.0um,Particles >10um,Temperature: %0.1f C,Gas: %d ohm,Humidity: %0.1f %%,Pressure: %0.3f hPa,Altitude = %0.2f meters
2025-02-26 14:45:55,1,1,1,1,1,1,453,127,19,0,0,0,33.1438671875,31847,100,702.877453836745,2980.424988956585
2025-02-26 14:45:56,1,1,1,1,1,1,462,126,18,0,0,0,24.3341015625,13384,40.789672438396664,1006.486793762552,56.461092195269806
2025-02-26 14:45:57,1,1,1,1,1,1,462,126,18,0,0,0,24.3676953125,24270,40.721760650342915,1006.4862397704943,56.46572963822912
2025-02-26 14:45:58,1,1,1,1,1,1,462,126,18,0,0,0,24.4083203125,34901,40.60696011143635,1006.4828929162534,56.493746050669166
2025-02-26 14:45:59,2,2,2,2,2,2,642,181,19,0,0,0,24.44640625,44925,40.50981789845031,1006.4878077151157,56.452604448664204
2025-02-26 14:46:00,2,2,2,2,2,2,642,181,19,0,0,0,24.4833203125,53059,40.38879188875566,1006.4890596802463,56.442124320218184
2025-02-26 14:46:01,3,3,3,3,3,3,642,181,19,0,0,0,24.5161328125,60956,40.27334926040657,1006.4942897756162,56.398343605402026
2025-02-26 14:46:02,3,3,3,3,3,3,621,177,17,1,0,0,24.5454296875,67435,40.16948713483287,1006.4956116846214,56.38727803880041
2025-02-26 14:46:03,3,3,3,3,3,3,621,177,17,1,0,0,24.57140625,73166,40.04750856281088,1006.5004085425516,56.34712412499189
2025-02-26 14:46:04,3,3,3,3,3,3,621,177,17,1,0,0,24.5940625,77822,39.96680739491192,1006.4927799042431,56.410982600370815
2025-02-26 14:46:05,2,2,2,2,2,2,609,174,15,1,0,0,24.6153515625,82867,39.90973154224574,1006.479409513469,56.522905586816314
2025-02-26 14:46:06,2,2,2,2,2,2,609,174,15,1,0,0,24.635078125,86877,39.86437115452985,1006.4670502668018,56.62636539865439
2025-02-26 14:46:07,2,2,2,2,2,2,609,174,15,1,0,0,24.6524609375,89742,39.83063416229194,1006.4668121139151,56.62835899732564
2025-02-26 14:46:08,1,2,2,1,2,2,570,158,15,1,0,0,24.6680859375,94043,39.83230371348683,1006.4619706943038,56.66888702764255
2025-02-26 14:46:09,1,2,2,1,2,2,570,158,15,1,0,0,24.682734375,95718,39.804210402753995,1006.4661558350374,56.63385276725549
2025-02-26 14:46:10,1,2,2,1,2,2,570,158,15,1,0,0,24.6958203125,96983,39.81747140866446,1006.4642861227208,56.64950431431438
